id,source,subject,from
b'7208',,"3 типа офисных сотрудников, которых ценят в любой компании. Вы среди них? Дайджест 356","""Work.ua"" <website@work.ua>"
b'7209',,Register for Kaggle's SQL Summer Camp!,Rachael from Kaggle <rachael.tatman-589b266428ff@kaggle.intercom-mail.com>
b'7210',,Ваша лента Tumblr скучает по Вам!,Tumblr <no-reply@tumblr.com>
b'7211',,8 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7212',,🎂 Распродажа началась! Скидки до 70% ко Дню рождения Rozetka,ROZETKA <bestdeal@rozetka.com.ua>
b'7213',,"“Relax, Ladies. Don’t Be So Uptight. You Know You Want It” published by Anastasia Basil",Medium Daily Digest <noreply@medium.com>
b'7214',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7215',,Самые популярные товары распродажи! Выбирайте из лучших предложений,ROZETKA <bestdeal@rozetka.com.ua>
b'7216',,Хит-парад бюджетных находок 🎆,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7217',,"до -20% на книжки сучасної прози від ""Vivat""","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7218',,Не парьте ваши ножки 🔥Шлепанцы от 81 грн🔥,Kasta <modnakasta@mailman.modnakasta.ua>
b'7219',, ➡ 🔥 Садовий розпродаж до -50%!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7220',,Нарешті! Абсолютна двомовність на Work.ua,"""Work.ua"" <website@work.ua>"
b'7221',,20/25 - вже здогадалися про що це?😉,Comfy <comfy@mailersend.comfy.ua>
b'7222',,6 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7223',,Утолите жажду новых блогов!,Tumblr <no-reply@tumblr.com>
b'7224',,“Why We Translated an Exhibition’s Labels Into Dozens of Native Languages” published in Minneapolis Institute of Art by Minneapolis Institute of Art,Medium Daily Digest <noreply@medium.com>
b'7225',,"Tamara, 1 просмотр профиля, 2 приглашения и 29 обновлений ожидают Вас в LinkedIn.",LinkedIn <notifications-noreply@linkedin.com>
b'7226',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7227',,"🎉 Продолжается распродажа до -70%! Спешите на шопинг, пока действуют праздничные скидки",ROZETKA <bestdeal@rozetka.com.ua>
b'7228',,"Що робити, якщо ви не можете знайти роботу?","""hh.ua"" <noreply@hh.ua>"
b'7229',,"Книжковий четвер: захопливі видання з історії, правила бінго та 20% знижки","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7230',,Витаминный Sale СЕЙЧАС😍Вышиванки от 155 грн⚡️Техника для красоты от 159 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7231',,"🎉 Распродажа в самом разгаре! Спешите, первый миллион товаров уже продан",ROZETKA <bestdeal@rozetka.com.ua>
b'7232',,"Празднуем День рождения Rozetka на Бандеры, 6. Присоединяйтесь!",ROZETKA <bestdeal@rozetka.com.ua>
b'7233',, ➡ 🔥 Розстрочка без переплат!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7234',,🚚 Бесплатная доставка ко Дню рождения! Устройте супервыгодный шопинг,ROZETKA <bestdeal@rozetka.com.ua>
b'7235',,Распродажа🔥Витамины от H&M😍Футболки от 17 грн⚡️Шорты от 67 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7236',,⚡ Жаркий Night Sale ⚡,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7237',,3 нові вакансії «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7238',," Тамара, смотрите, что у Вас нового в Google Фото  ",Google Photos <noreply-photos@google.com>
b'7239',,"🎉 Праздничная распродажа в разгаре! Спешите, акционных товаров все меньше",ROZETKA <bestdeal@rozetka.com.ua>
b'7240',,“Basic Statistics Every Data Scientist Should Know” published in Better Programming by SeattleDataGuy,Medium Daily Digest <noreply@medium.com>
b'7241',,"Пожалуйста, подтвердите Вашу электронную почту",Payoneer <NoReply@payoneer.com>
b'7242',,Ваш запрос на получение платежей от M.M.D. SMART LTD рассматривается!,Payoneer <NoReply@payoneer.com>
b'7243',,"Tamara, для продолжения нам необходима дополнительная информация",Payoneer <NoReply@payoneer.com>
b'7244',,Бестселлеры ухода за волосами 🙌,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7245',,🎉 Напоминаем: распродажа скоро завершится! Более 70% товаров уже раскупили,ROZETKA <bestdeal@rozetka.com.ua>
b'7246',,Самая короткая ночь — самая большая скидка на Colin's -90%🔥,Kasta <modnakasta@mailman.modnakasta.ua>
b'7247',, ➡ 🔥 СантехБум до -30%!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7248',,🌟 Знижки до 60% на 7000 книжок. Найкнижковіший літній розпродаж!,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7249',,Вони все ще чекають ➤➤➤,Comfy <comfy@mailersend.comfy.ua>
b'7250',,Getting complex ML insights in front of business and military leaders - fast,Whitney at Anaconda <ambassador@anaconda.com>
b'7251',,9 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7252',,🎉 Распродажа завершается! Успейте купить товары с невероятными скидками,ROZETKA <bestdeal@rozetka.com.ua>
b'7253',,“Top 5 Insights After I Spent 100 Days Learning About Artificial Intelligence” published in The Startup by Jamie Beach,Medium Daily Digest <noreply@medium.com>
b'7254',,💄 Новинки от мировых брендов 💄,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7255',,ХОЦЮ🍭Carter’s от 95 грн⚡️C&A от 36 грн⚡️-60% на Disney,Kasta <modnakasta@mailman.modnakasta.ua>
b'7256',,🎉 Осталось 2 дня и меньше 15% товаров распродажи! Покупайте с невероятными скидками,ROZETKA <bestdeal@rozetka.com.ua>
b'7257',,Long reads for a long day,Human Parts <editors-picks@medium.com>
b'7258',,“The Great Perversion” published in Eudaimonia and Co by umair haque,Medium Daily Digest <noreply@medium.com>
b'7259',,🎉 Последний день распродажи! Спешите купить желаемое со скидками,ROZETKA <bestdeal@rozetka.com.ua>
b'7260',,Скидки для вас и вашего дома😍Текстиль от 11 грн⚡️Посуда от 14 грн⚡️Электроника от 219 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7261',,🎉 Распродажа в финале! Остались последние акционные товары,ROZETKA <bestdeal@rozetka.com.ua>
b'7262',,Орк-подкастер только что добавил(а) видео,YouTube <noreply@youtube.com>
b'7263',,[Docker Hub] Please confirm the email linked to your Docker ID,Docker <no-reply@notify.docker.com>
b'7264',,Your Docker Enterprise Edition Hosted Trial is ready,noreply@notify.docker.com
b'7265',,20+ нових вакансій «Junior Data Analyst» у Києві за тиждень,"""Work.ua"" <website@work.ua>"
b'7266',,“Is ‘Interactive Storytelling’ the Future of Media?” published in OneZero by Mike Raab,Medium Daily Digest <noreply@medium.com>
b'7267',,💡 Круті знижки до -60% на художню літературу,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7268',,Вот так мы празднуем День молодежи 😜,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7269',,Your summer wardrobe has arrived from your favorite educational company,Codecademy <learn@codecademy.com>
b'7270',,Ещё жарче 🔥 Скидки на летние мужские и женские коллекции Oodji ➡️,Kasta <modnakasta@mailman.modnakasta.ua>
b'7271',,🔗 Павел Мельников поделился ссылка,Facebook <notification@facebookmail.com>
b'7272',,"Платье Boohoo за 200 грн, Купальник ASOS за 250 грн + 961 популярных вещей","""Shafa.ua"" <hello@shafa.com.ua>"
b'7273',,9 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7274',,Live Astronomy Q&A Session Thursday June 27 at 8AM,"""Astronomy: Exploring Time and Space Course Team"" <no-reply@t.mail.coursera.org>"
b'7275',,“11 Things I Wish I Knew When I Started My Business” published in What I Learned Building by Stephanie St.Claire,Medium Daily Digest <noreply@medium.com>
b'7276',,Готовьтесь к поступлению без отрыва от учебы,"""STUDY.UA"" <newslist@obuchenie.com.ua>"
b'7277',,"ТОП-30 книжок розпродажу! Знижки до 60% тривають, хапайте","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7278',,ТАКОГО НЕ БЫЛО😱Carlo Pazolini🔥Обувь от 589🔥Сумки от 1 299 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7279',,Без них не обійтись!,Comfy <comfy@mailersend.comfy.ua>
b'7280',,🔗 Павел Мельников поделился ссылка,Facebook <notification@facebookmail.com>
b'7281',,Your Data Science Progress Report 📊,DataCamp <team@datacamp.com>
b'7282',,"4 помилки в ваших соціальних мережах, які можуть поставити хрест на отриманні робот. Дайджест 357","""Work.ua"" <website@work.ua>"
b'7283',,Вы вошли на Facebook с нового места?,Facebook <security@facebookmail.com>
b'7284',,Networking Academy Planned Outage on 2 August 2019,Cisco Networking Academy <netacademail@external.cisco.com>
b'7285',,9 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7286',,🌾 Отмечаем День Конституции! Скидки до 50% к празднику,ROZETKA <bestdeal@rozetka.com.ua>
b'7287',,“Drag Her by the Hair and Heart” published in EIDOLON by Britta Ager,Medium Daily Digest <noreply@medium.com>
b'7288',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7289',,Восторг и скидки ГАРАНТИРОВАННЫ❤️Irene Klairie от 729 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7290',, ➡ 🔥 Залишилося 3 дні дії промокоду!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7291',,Заказ №1561552974-0670 - В обработке,MakeUp <cs@makeup.com.ua>
b'7292',,До -60% для здоров'я та краси!,Comfy <comfy@mailersend.comfy.ua>
b'7293',,"Істує стереотип, що пошукачі віком 50+ менш креативні та «дружні» з технологіями","""hh.ua"" <noreply@hh.ua>"
b'7294',,Заказ №1561552974-0670 - Упакован,MakeUp <cs@makeup.com.ua>
b'7295',,We luxury you ♥ Люксовые любимчики от PARFUMS,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7296',,Understand the fundamentals of SQL in our new skill track!,Martijn from DataCamp <team@datacamp.com>
b'7297',,6 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7298',,Утолите жажду новых блогов!,Tumblr <no-reply@tumblr.com>
b'7299',,“Five Steps to Changing Your Life (they boil down to one thing)” published by Shaunta Grimes,Medium Daily Digest <noreply@medium.com>
b'7300',,"Tamara, 1 просмотр профиля, 2 приглашения и 29 обновлений ожидают Вас в LinkedIn.",LinkedIn <notifications-noreply@linkedin.com>
b'7301',,Заказ №1561552974-0670 - Отправлен,MakeUp <cs@makeup.com.ua>
b'7302',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7303',," Тамара, смотрите, что у Вас нового в Google Фото  ",Google Photos <noreply-photos@google.com>
b'7304',,Никуда ехать не нужно❗️H&M тут🔥Мужские футболки от 130 грн⚡️Платья от 117 грн⚡️Купальники от 295 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7305',,"Распродажи недели: джинсы Atmosphere за 350 грн, блуза Topshop за 60 грн + 976 вещей со скидками","""Shafa.ua"" <hello@shafa.com.ua>"
b'7306',,Live Astronomy Q&A Session TODAY in about 1 hour,"""Astronomy: Exploring Time and Space Course Team"" <no-reply@t.mail.coursera.org>"
b'7307',,Unique skills: check ✅,edX <news@edx.org>
b'7308',,Reminder: Last chance to get Bitdefender 2019!,Bitdefender <bitdefender@hello.bitdefender.com>
b'7309',,4 нові вакансії «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7310',,“Using the latest advancements in deep learning to predict stock price movements” published in Towards Data Science by Boris B,Medium Daily Digest <noreply@medium.com>
b'7311',,"Не пропустіть, нова публікація! Візовий центр Globus від 06/28/2019",Globus <news@globus-visa.com>
b'7312',,Ты + новый купальник = ❤️ Цены от 126 грн⚡️ Очки от 45 грн😍,Kasta <modnakasta@mailman.modnakasta.ua>
b'7313',,Your Last Chance to Get ASIN Reports...,Linus from AMZDataStudio <amzdatastudio@gmail.com>
b'7314',,Make Creative Cloud the home for your creativity.,Adobe Creative Cloud <mail@mail.adobe.com>
b'7315',,Орк-подкастер только что добавил(а) видео,YouTube <noreply@youtube.com>
b'7316',,Двухфакторная верификация включена,Payoneer <NoReply@payoneer.com>
b'7317',,7 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7318',,“Want to be a Great Writer? Then Don’t Focus on Writing. (Do This Instead)” published in The Writing Cooperative by Sarah Cy,Medium Daily Digest <noreply@medium.com>
b'7319',,Надвигается ураган бьюти-новостей 🌪️,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7320',,Oodji до -90%🔥Платья от 79 грн⚡️Женские и мужские футболки от 70 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7321',,Amazon will stop providing this in 2 days!,Linus from AMZDataStudio <amzdatastudio@gmail.com>
b'7322',,"
    b1ack-and-b1ue-roses теперь читает ваш блог

",Tumblr <no-reply@tumblr.com>
b'7323',,“How To Become A Great Writer: George Orwell” published in Personal Growth by Harry J. Stead,Medium Daily Digest <noreply@medium.com>
b'7324',,Ваш дом — наши СКИДКИ❤️Текстиль от 11 грн⚡️Хранение от 20 грн⚡️Посуда от 12 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7325',,20+ нових вакансій «Junior Data Analyst» у Києві за тиждень,"""Work.ua"" <website@work.ua>"
b'7326',,“The Mistakes I Made As a Beginner Programmer” published in jsComplete EdgeCoders by Samer Buna,Medium Daily Digest <noreply@medium.com>
b'7327',,"Не пропустіть, нова публікація! Візовий центр Globus від 07/01/2019",Globus <news@globus-visa.com>
b'7328',,Утомленные солнцем ☀️,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7329',,Поздравьте участника Oleh Chychkevych  с...,LinkedIn <notifications-noreply@linkedin.com>
b'7330',,Ты ждала его😍Новое платье🔥Irene Klairie и BGL от 894 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7331',,"Купальник Esmara за 250 грн, Топ New Look за 175 грн + 975 популярных вещей","""Shafa.ua"" <hello@shafa.com.ua>"
b'7332',,"This is about to get graphic, R you ready? ",Codecademy <learn@codecademy.com>
b'7333',,Northwestern | The Final Countdown,Northwestern University MSDS <datascience@northwestern.edu>
b'7334',,"Не чекай на готівку, купуй в кредит до 25 платежів!",Comfy <comfy@mailersend.comfy.ua>
b'7335',,7 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7336',,“Einstein’s Camera” published by Matter,Medium Daily Digest <noreply@medium.com>
b'7337',,Поздравьте участника ☁Andrii...,LinkedIn <notifications-noreply@linkedin.com>
b'7338',,🏷️ Последний шанс купить! Скидки на последние товары до 60%,ROZETKA <bestdeal@rozetka.com.ua>
b'7339',,СУПЕР цены от Adidas??Женские кроссовки от 1 299 грн⚡️Мужские кроссовки от 1 290 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7340',, ➡ 🔥 Краща ціна на товари для консервації!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7341',,Your Data Science Progress Report 📊,DataCamp <team@datacamp.com>
b'7342',,"5 українських компаній, в яких можна почати кар'єру. Дайджест 358","""Work.ua"" <website@work.ua>"
b'7343',,8 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7344',,🌿🔥 Найдите свою купальскую скидку! До -50% для волшебного праздника,ROZETKA <bestdeal@rozetka.com.ua>
b'7345',,“Learn Enough Docker to be Useful” published in Towards Data Science by Jeff Hale,Medium Daily Digest <noreply@medium.com>
b'7346',,Подходящие вакансии ,HeadHunter <no_reply@hh.ua>
b'7347',,Ты и твоя новая ФУТБОЛКА🔥От 61 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7348',,👀 Знижки до -40% та розпродаж товарів до 199грн!,Comfy <comfy@mailersend.comfy.ua>
b'7349',,💥 Масштабная акция от Vichy и Vogue Ukraine,PARFUMS <sale@parfums.ua>
b'7350',," Тамара, смотрите, что у Вас нового в Google Фото  ",Google Photos <noreply-photos@google.com>
b'7351',,"5 блогов, на которые стоит подписаться",Tumblr <no-reply@tumblr.com>
b'7352',,5 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7353',,“The 4 Best Ways to Earn Income Writing in 2018 (and the 3 Worst)” published in The Mission by Anthony Moore,Medium Daily Digest <noreply@medium.com>
b'7354',,"Tamara, 1 просмотр профиля, 2 приглашения и 30 обновлений ожидают Вас в LinkedIn.",LinkedIn <notifications-noreply@linkedin.com>
b'7355',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7356',,"Тисніть на кнопку — приєднуйтесь до Talent ON в телеграмі, завантажуйте крутий стікерпак та...","""hh.ua"" <noreply@hh.ua>"
b'7357',,Открыт набор на самую популярную программу Международной школы STUDY Academy!,"""STUDY.UA"" <newslist@obuchenie.com.ua>"
b'7358',,Поздравьте участника Ruslan Senyo  с...,LinkedIn <notifications-noreply@linkedin.com>
b'7359',,Реєстрація на Genesis Marketing Case 2.0 😉,Genesis Marketing Case <genesis-mrkt-case@gen.tech>
b'7360',,Американские бренды на Kasta🔥Босоножки от 174 грн⚡️Мужские сандалии от 189 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7361',, ➡ 🔥 Вигода до -30% на побутову хімію!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7362',,Everything you need to go from dreaming to creating .,Adobe Creative Cloud <mail@mail.adobe.com>
b'7363',,We saw these and thought of you,edX <news@edx.org>
